"Libellé";"Dépenses de consommation des ménages - Produits agricoles - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Produits agro-alimentaires - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Cokéfaction et raffinage - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Biens d'équipement - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Matériels de transport - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Autres produits industriels - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Énergie, eau, déchets - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Construction - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Commerce - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Transport - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Hébergement-restauration - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Information-communication - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services financiers - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services immobiliers - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services aux entreprises - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services non marchands (A17-OQ) - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services aux ménages - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Biens - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Biens manufacturés - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Biens industriels - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services marchands - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services non marchands - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Solde touristique - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes"
"2005-T2";"7378";"A";"40619";"A";"13670";"A";"3822";"A";"17211";"A";"35408";"A";"13185";"A";"4264";"A";"4013";"A";"8154";"A";"18840";"A";"8743";"A";"12058";"A";"48749";"A";"5309";"A";"12928";"A";"10342";"A";"128417";"A";"107968";"A";"121055";"A";"115264";"A";"12928";"A";"132462";"A";"-4173";"A"
"2005-T1";"7357";"A";"40783";"A";"13887";"A";"3681";"A";"16991";"A";"35426";"A";"13407";"A";"4243";"A";"3992";"A";"8129";"A";"18692";"A";"8582";"A";"11930";"A";"48643";"A";"5284";"A";"12865";"A";"10343";"A";"128337";"A";"107746";"A";"120994";"A";"114566";"A";"12865";"A";"131678";"A";"-4248";"A"
"2004-T4";"7506";"A";"40600";"A";"13993";"A";"3571";"A";"17392";"A";"35207";"A";"13168";"A";"4250";"A";"4041";"A";"8024";"A";"18618";"A";"8519";"A";"11784";"A";"48293";"A";"5206";"A";"12615";"A";"10387";"A";"128135";"A";"107595";"A";"120656";"A";"113815";"A";"12615";"A";"130689";"A";"-4492";"A"
"2004-T3";"7620";"A";"40128";"A";"13860";"A";"3383";"A";"16477";"A";"34695";"A";"13192";"A";"4254";"A";"3986";"A";"7920";"A";"18405";"A";"8391";"A";"11646";"A";"48059";"A";"5171";"A";"12555";"A";"10390";"A";"125817";"A";"105208";"A";"118222";"A";"112871";"A";"12555";"A";"129679";"A";"-4555";"A"
"2004-T2";"7343";"A";"40168";"A";"14095";"A";"3326";"A";"16447";"A";"34916";"A";"13189";"A";"4258";"A";"3978";"A";"7982";"A";"18492";"A";"8400";"A";"11510";"A";"47677";"A";"5157";"A";"12505";"A";"10393";"A";"125780";"A";"105445";"A";"118463";"A";"112503";"A";"12505";"A";"129263";"A";"-4407";"A"
"2004-T1";"7397";"A";"39915";"A";"14209";"A";"3151";"A";"16426";"A";"34619";"A";"13267";"A";"4240";"A";"4008";"A";"7720";"A";"18524";"A";"8379";"A";"11376";"A";"47663";"A";"5136";"A";"12328";"A";"10354";"A";"124917";"A";"104493";"A";"117546";"A";"112047";"A";"12328";"A";"128619";"A";"-4192";"A"
"2003-T4";"7115";"A";"40206";"A";"14131";"A";"3025";"A";"16321";"A";"34553";"A";"13339";"A";"4186";"A";"3992";"A";"7667";"A";"18396";"A";"8057";"A";"11252";"A";"47442";"A";"5120";"A";"12099";"A";"10232";"A";"124460";"A";"104273";"A";"117371";"A";"110868";"A";"12099";"A";"127167";"A";"-3828";"A"
"2003-T3";"6983";"A";"41225";"A";"14478";"A";"2900";"A";"16702";"A";"34137";"A";"12521";"A";"4158";"A";"4044";"A";"7558";"A";"18628";"A";"8034";"A";"11159";"A";"47227";"A";"5137";"A";"11942";"A";"10192";"A";"124400";"A";"104947";"A";"117440";"A";"110651";"A";"11942";"A";"126779";"A";"-3589";"A"
"2003-T2";"7220";"A";"40615";"A";"14437";"A";"2755";"A";"16110";"A";"34049";"A";"12268";"A";"4156";"A";"4015";"A";"7341";"A";"18347";"A";"8075";"A";"11112";"A";"46952";"A";"5072";"A";"11990";"A";"10130";"A";"122751";"A";"103305";"A";"115560";"A";"109814";"A";"11990";"A";"125971";"A";"-3566";"A"
"2003-T1";"7184";"A";"40580";"A";"14398";"A";"2687";"A";"16449";"A";"33893";"A";"12797";"A";"4213";"A";"4089";"A";"7483";"A";"18378";"A";"8060";"A";"11112";"A";"46800";"A";"5027";"A";"12084";"A";"10106";"A";"123001";"A";"103191";"A";"115845";"A";"109803";"A";"12084";"A";"126093";"A";"-3707";"A"
"2002-T4";"7422";"A";"41228";"A";"14252";"A";"2650";"A";"16559";"A";"33663";"A";"12003";"A";"4271";"A";"4105";"A";"7575";"A";"18248";"A";"7949";"A";"11136";"A";"46460";"A";"5013";"A";"12290";"A";"10076";"A";"122903";"A";"103462";"A";"115519";"A";"109284";"A";"12290";"A";"125807";"A";"-3952";"A"
"2002-T3";"7311";"A";"40780";"A";"14351";"A";"2491";"A";"16475";"A";"33613";"A";"12129";"A";"4276";"A";"4116";"A";"7579";"A";"18163";"A";"7837";"A";"11136";"A";"46381";"A";"5026";"A";"12437";"A";"10065";"A";"121883";"A";"102482";"A";"114607";"A";"108966";"A";"12437";"A";"125621";"A";"-4236";"A"
"2002-T2";"7136";"A";"40504";"A";"14338";"A";"2437";"A";"16864";"A";"33018";"A";"12092";"A";"4285";"A";"4153";"A";"7501";"A";"17952";"A";"7756";"A";"11081";"A";"46169";"A";"4993";"A";"12494";"A";"9980";"A";"120989";"A";"101804";"A";"113881";"A";"108231";"A";"12494";"A";"124931";"A";"-4255";"A"
"2002-T1";"6925";"A";"40925";"A";"14367";"A";"2337";"A";"16752";"A";"32867";"A";"11735";"A";"4277";"A";"4135";"A";"7451";"A";"18002";"A";"7638";"A";"10972";"A";"46060";"A";"4925";"A";"12410";"A";"9873";"A";"120310";"A";"101601";"A";"113402";"A";"107608";"A";"12410";"A";"124215";"A";"-3974";"A"
"2001-T4";"7269";"A";"40506";"A";"14480";"A";"2331";"A";"16633";"A";"32604";"A";"12143";"A";"4243";"A";"4154";"A";"7155";"A";"18064";"A";"7369";"A";"10821";"A";"45872";"A";"4970";"A";"12350";"A";"9822";"A";"120267";"A";"100945";"A";"113038";"A";"106587";"A";"12350";"A";"123094";"A";"-3937";"A"
"2001-T3";"7118";"A";"40522";"A";"14741";"A";"2241";"A";"16773";"A";"32821";"A";"12420";"A";"4210";"A";"4155";"A";"7336";"A";"18006";"A";"7178";"A";"10686";"A";"45669";"A";"4958";"A";"12195";"A";"9766";"A";"120572";"A";"101171";"A";"113476";"A";"105954";"A";"12195";"A";"122282";"A";"-3757";"A"
"2001-T2";"7093";"A";"40445";"A";"14450";"A";"2207";"A";"16685";"A";"32598";"A";"12300";"A";"4194";"A";"4155";"A";"7443";"A";"18102";"A";"6969";"A";"10579";"A";"45517";"A";"4934";"A";"12176";"A";"9710";"A";"119727";"A";"100464";"A";"112658";"A";"105423";"A";"12176";"A";"121712";"A";"-3502";"A"
"2001-T1";"7371";"A";"40561";"A";"14349";"A";"2185";"A";"16394";"A";"32594";"A";"11763";"A";"4230";"A";"4110";"A";"7457";"A";"18046";"A";"6797";"A";"10500";"A";"45336";"A";"4961";"A";"12130";"A";"9686";"A";"119241";"A";"100139";"A";"111927";"A";"104796";"A";"12130";"A";"121060";"A";"-3773";"A"
"2000-T4";"7243";"A";"40358";"A";"14102";"A";"2156";"A";"15486";"A";"32706";"A";"11502";"A";"4150";"A";"4110";"A";"7389";"A";"18032";"A";"6592";"A";"10447";"A";"45330";"A";"4956";"A";"12130";"A";"9623";"A";"117737";"A";"98990";"A";"110547";"A";"104243";"A";"12130";"A";"120430";"A";"-3984";"A"
"2000-T3";"7264";"A";"40507";"A";"13764";"A";"2117";"A";"16102";"A";"32313";"A";"11791";"A";"4169";"A";"4119";"A";"7271";"A";"17905";"A";"6424";"A";"10367";"A";"45146";"A";"4943";"A";"12063";"A";"9594";"A";"117898";"A";"98916";"A";"110688";"A";"103416";"A";"12063";"A";"119545";"A";"-3885";"A"
"2000-T2";"7288";"A";"40197";"A";"14069";"A";"2071";"A";"15948";"A";"32314";"A";"11626";"A";"4197";"A";"4132";"A";"7243";"A";"17711";"A";"6239";"A";"10260";"A";"44958";"A";"4860";"A";"11993";"A";"9503";"A";"117387";"A";"98522";"A";"110158";"A";"102424";"A";"11993";"A";"118497";"A";"-3741";"A"
"2000-T1";"7238";"A";"39801";"A";"14337";"A";"1979";"A";"15550";"A";"32061";"A";"11709";"A";"4232";"A";"4155";"A";"7288";"A";"17486";"A";"6058";"A";"10126";"A";"44702";"A";"4804";"A";"11904";"A";"9446";"A";"116201";"A";"97361";"A";"109025";"A";"101454";"A";"11904";"A";"117460";"A";"-3548";"A"
"1999-T4";"7171";"A";"39886";"A";"14524";"A";"1938";"A";"15802";"A";"31472";"A";"11801";"A";"4026";"A";"4167";"A";"7049";"A";"17270";"A";"5845";"A";"9971";"A";"44501";"A";"4747";"A";"11766";"A";"9354";"A";"115924";"A";"97087";"A";"108809";"A";"100179";"A";"11766";"A";"115867";"A";"-3289";"A"
"1999-T3";"7331";"A";"39398";"A";"14382";"A";"1796";"A";"16453";"A";"30986";"A";"11635";"A";"3976";"A";"4166";"A";"6970";"A";"16990";"A";"5630";"A";"9832";"A";"44312";"A";"4670";"A";"11603";"A";"9235";"A";"114899";"A";"96078";"A";"107645";"A";"98916";"A";"11603";"A";"114394";"A";"-3190";"A"
"1999-T2";"7001";"A";"39124";"A";"14425";"A";"1716";"A";"14730";"A";"30911";"A";"11494";"A";"3939";"A";"3967";"A";"6969";"A";"16662";"A";"5426";"A";"9711";"A";"44097";"A";"4603";"A";"11441";"A";"9190";"A";"112182";"A";"93843";"A";"105242";"A";"97643";"A";"11441";"A";"112922";"A";"-3193";"A"
"1999-T1";"6828";"A";"38874";"A";"14431";"A";"1605";"A";"14707";"A";"30803";"A";"11557";"A";"3887";"A";"3881";"A";"6945";"A";"16221";"A";"5251";"A";"9607";"A";"43950";"A";"4579";"A";"11430";"A";"9085";"A";"111219";"A";"93015";"A";"104440";"A";"96458";"A";"11430";"A";"111665";"A";"-2939";"A"
"1998-T4";"6993";"A";"39068";"A";"14468";"A";"1587";"A";"14632";"A";"30477";"A";"11801";"A";"3899";"A";"3958";"A";"6767";"A";"16244";"A";"5104";"A";"9522";"A";"43766";"A";"4595";"A";"11389";"A";"9018";"A";"111295";"A";"92757";"A";"104364";"A";"95790";"A";"11389";"A";"110961";"A";"-2585";"A"
"1998-T3";"6856";"A";"38814";"A";"14343";"A";"1520";"A";"14617";"A";"30516";"A";"11429";"A";"3907";"A";"3848";"A";"6670";"A";"16213";"A";"5003";"A";"9421";"A";"43796";"A";"4496";"A";"11345";"A";"8782";"A";"110285";"A";"92177";"A";"103481";"A";"94965";"A";"11345";"A";"110089";"A";"-2372";"A"
"1998-T2";"6910";"A";"38740";"A";"14610";"A";"1429";"A";"13682";"A";"30331";"A";"11369";"A";"3884";"A";"3860";"A";"6515";"A";"16100";"A";"4863";"A";"9311";"A";"43654";"A";"4428";"A";"11290";"A";"8925";"A";"108852";"A";"90792";"A";"102012";"A";"94241";"A";"11290";"A";"109284";"A";"-2276";"A"
"1998-T1";"7010";"A";"38157";"A";"14160";"A";"1336";"A";"13442";"A";"30104";"A";"10983";"A";"3859";"A";"3784";"A";"6549";"A";"15833";"A";"4741";"A";"9190";"A";"43572";"A";"4394";"A";"11264";"A";"8766";"A";"106929";"A";"89138";"A";"100017";"A";"93325";"A";"11264";"A";"108309";"A";"-2205";"A"
"1997-T4";"6865";"A";"38317";"A";"14011";"A";"1306";"A";"13160";"A";"30067";"A";"10856";"A";"3861";"A";"3823";"A";"6478";"A";"15512";"A";"4550";"A";"9060";"A";"43315";"A";"4353";"A";"11204";"A";"8439";"A";"106324";"A";"88771";"A";"99542";"A";"91910";"A";"11204";"A";"106818";"A";"-2177";"A"
"1997-T3";"6902";"A";"38117";"A";"14436";"A";"1252";"A";"12879";"A";"29267";"A";"10902";"A";"3857";"A";"3792";"A";"6396";"A";"15164";"A";"4432";"A";"8938";"A";"43176";"A";"4285";"A";"11127";"A";"8559";"A";"105090";"A";"87513";"A";"98285";"A";"91022";"A";"11127";"A";"105840";"A";"-2072";"A"
"1997-T2";"7140";"A";"37874";"A";"14038";"A";"1202";"A";"12299";"A";"29308";"A";"10806";"A";"3840";"A";"3790";"A";"6260";"A";"15335";"A";"4340";"A";"8819";"A";"43070";"A";"4225";"A";"11083";"A";"8560";"A";"103977";"A";"86310";"A";"96975";"A";"90527";"A";"11083";"A";"105283";"A";"-1975";"A"
"1997-T1";"6884";"A";"37745";"A";"14119";"A";"1179";"A";"12193";"A";"29358";"A";"10863";"A";"3816";"A";"3862";"A";"6308";"A";"15148";"A";"4263";"A";"8704";"A";"42880";"A";"4150";"A";"11015";"A";"8636";"A";"103568";"A";"86088";"A";"96791";"A";"89966";"A";"11015";"A";"104630";"A";"-1831";"A"
"1996-T4";"7009";"A";"38223";"A";"14157";"A";"1142";"A";"12484";"A";"29029";"A";"11106";"A";"3845";"A";"3784";"A";"6203";"A";"14964";"A";"4266";"A";"8601";"A";"42747";"A";"4153";"A";"11016";"A";"8681";"A";"104022";"A";"86237";"A";"97131";"A";"89463";"A";"11016";"A";"104143";"A";"-1614";"A"
"1996-T3";"7002";"A";"37847";"A";"14165";"A";"1121";"A";"15787";"A";"29136";"A";"11186";"A";"3844";"A";"3898";"A";"6192";"A";"14753";"A";"4188";"A";"8482";"A";"42543";"A";"4105";"A";"10917";"A";"8545";"A";"107046";"A";"89104";"A";"100139";"A";"88673";"A";"10917";"A";"103247";"A";"-1470";"A"
"1996-T2";"6854";"A";"37871";"A";"14226";"A";"1100";"A";"13694";"A";"29156";"A";"11103";"A";"3809";"A";"3890";"A";"6192";"A";"14914";"A";"4134";"A";"8364";"A";"42346";"A";"4076";"A";"10845";"A";"8656";"A";"104729";"A";"87055";"A";"97969";"A";"88414";"A";"10845";"A";"102892";"A";"-1330";"A"
"1996-T1";"6822";"A";"38140";"A";"14470";"A";"1086";"A";"14059";"A";"29028";"A";"11327";"A";"3791";"A";"4040";"A";"6145";"A";"15121";"A";"4143";"A";"8247";"A";"42193";"A";"4115";"A";"10792";"A";"8527";"A";"105388";"A";"87551";"A";"98651";"A";"88287";"A";"10792";"A";"102701";"A";"-1263";"A"
"1995-T4";"6947";"A";"38108";"A";"14382";"A";"1077";"A";"12367";"A";"28927";"A";"10474";"A";"3788";"A";"4158";"A";"5802";"A";"15269";"A";"4110";"A";"8122";"A";"41931";"A";"4076";"A";"10691";"A";"8538";"A";"102930";"A";"85705";"A";"96101";"A";"87710";"A";"10691";"A";"102020";"A";"-1375";"A"
"1995-T3";"6916";"A";"38089";"A";"14171";"A";"1057";"A";"12120";"A";"29244";"A";"10785";"A";"3802";"A";"4218";"A";"5967";"A";"15470";"A";"4101";"A";"8011";"A";"41688";"A";"4128";"A";"10655";"A";"8350";"A";"102973";"A";"85543";"A";"96171";"A";"87544";"A";"10655";"A";"101831";"A";"-1505";"A"
"1995-T2";"6915";"A";"38001";"A";"14482";"A";"1041";"A";"14818";"A";"29224";"A";"10777";"A";"3817";"A";"4276";"A";"5950";"A";"15609";"A";"4066";"A";"7895";"A";"41496";"A";"4114";"A";"10631";"A";"8183";"A";"105632";"A";"88118";"A";"98813";"A";"87099";"A";"10631";"A";"101366";"A";"-1705";"A"
"1995-T1";"6951";"A";"37950";"A";"14364";"A";"1026";"A";"12844";"A";"29065";"A";"10440";"A";"3820";"A";"4312";"A";"5899";"A";"15422";"A";"4045";"A";"7774";"A";"41232";"A";"4119";"A";"10629";"A";"8057";"A";"103085";"A";"85876";"A";"96251";"A";"86362";"A";"10629";"A";"100611";"A";"-1814";"A"
"1994-T4";"6854";"A";"37471";"A";"14268";"A";"999";"A";"13423";"A";"29070";"A";"10000";"A";"3794";"A";"4311";"A";"5961";"A";"15773";"A";"4018";"A";"7655";"A";"41004";"A";"4087";"A";"10627";"A";"8010";"A";"102647";"A";"85857";"A";"95901";"A";"86195";"A";"10627";"A";"100420";"A";"-1833";"A"
"1994-T3";"6882";"A";"37663";"A";"14512";"A";"977";"A";"13206";"A";"29188";"A";"10471";"A";"3713";"A";"4303";"A";"5886";"A";"15278";"A";"3970";"A";"7547";"A";"40756";"A";"4063";"A";"10608";"A";"8151";"A";"103094";"A";"85922";"A";"96321";"A";"85330";"A";"10608";"A";"99454";"A";"-1890";"A"
"1994-T2";"6942";"A";"37552";"A";"14430";"A";"955";"A";"13538";"A";"28911";"A";"10658";"A";"3744";"A";"4113";"A";"5860";"A";"15185";"A";"3931";"A";"7460";"A";"40503";"A";"4027";"A";"10605";"A";"8176";"A";"103051";"A";"85693";"A";"96225";"A";"84663";"A";"10605";"A";"98791";"A";"-1919";"A"
"1994-T1";"7015";"A";"37279";"A";"14460";"A";"923";"A";"12492";"A";"29437";"A";"9958";"A";"3759";"A";"4144";"A";"5842";"A";"15279";"A";"3870";"A";"7396";"A";"40230";"A";"3982";"A";"10598";"A";"8298";"A";"101687";"A";"84827";"A";"94809";"A";"84336";"A";"10598";"A";"98460";"A";"-2017";"A"
"1993-T4";"6844";"A";"37772";"A";"14597";"A";"904";"A";"12037";"A";"29429";"A";"10888";"A";"3738";"A";"4143";"A";"5781";"A";"15415";"A";"3863";"A";"7364";"A";"39953";"A";"3927";"A";"10546";"A";"8128";"A";"102142";"A";"84731";"A";"95408";"A";"83913";"A";"10546";"A";"97965";"A";"-2122";"A"
"1993-T3";"6800";"A";"37565";"A";"14394";"A";"915";"A";"12223";"A";"29504";"A";"10399";"A";"3733";"A";"4190";"A";"5828";"A";"15430";"A";"3803";"A";"7309";"A";"39685";"A";"3888";"A";"10399";"A";"8359";"A";"101790";"A";"84786";"A";"95097";"A";"83696";"A";"10399";"A";"97614";"A";"-2059";"A"
"1993-T2";"6782";"A";"37597";"A";"14940";"A";"894";"A";"11844";"A";"29764";"A";"10072";"A";"3723";"A";"4179";"A";"5837";"A";"15613";"A";"3761";"A";"7252";"A";"39448";"A";"3870";"A";"10403";"A";"8374";"A";"101618";"A";"84874";"A";"94942";"A";"83447";"A";"10403";"A";"97353";"A";"-1959";"A"
"1993-T1";"6661";"A";"37148";"A";"14926";"A";"887";"A";"11665";"A";"29533";"A";"10299";"A";"3707";"A";"4237";"A";"5860";"A";"15641";"A";"3744";"A";"7193";"A";"39211";"A";"3873";"A";"10299";"A";"8047";"A";"100843";"A";"84065";"A";"94280";"A";"82921";"A";"10299";"A";"96713";"A";"-1873";"A"
"1992-T4";"6847";"A";"37261";"A";"14779";"A";"876";"A";"13846";"A";"29863";"A";"10444";"A";"3688";"A";"4245";"A";"5942";"A";"15749";"A";"3709";"A";"7135";"A";"39030";"A";"3891";"A";"10214";"A";"8218";"A";"103553";"A";"86414";"A";"96806";"A";"82903";"A";"10214";"A";"96610";"A";"-1875";"A"
"1992-T3";"6944";"A";"37209";"A";"14847";"A";"873";"A";"13301";"A";"29682";"A";"10155";"A";"3670";"A";"4379";"A";"5942";"A";"15907";"A";"3709";"A";"7081";"A";"38784";"A";"3891";"A";"10121";"A";"8411";"A";"102690";"A";"85694";"A";"95850";"A";"82966";"A";"10121";"A";"96583";"A";"-1994";"A"
"1992-T2";"6725";"A";"36980";"A";"14798";"A";"863";"A";"13098";"A";"29996";"A";"10107";"A";"3657";"A";"4388";"A";"5921";"A";"15868";"A";"3683";"A";"7036";"A";"38526";"A";"3871";"A";"10000";"A";"8181";"A";"102289";"A";"85546";"A";"95662";"A";"82367";"A";"10000";"A";"95854";"A";"-2063";"A"
"1992-T1";"6572";"A";"36902";"A";"15149";"A";"869";"A";"13246";"A";"29584";"A";"10287";"A";"3647";"A";"4368";"A";"5905";"A";"16008";"A";"3680";"A";"6999";"A";"38254";"A";"3829";"A";"9930";"A";"8369";"A";"102171";"A";"85447";"A";"95693";"A";"82275";"A";"9930";"A";"95692";"A";"-2014";"A"
"1991-T4";"6545";"A";"37069";"A";"15134";"A";"862";"A";"12871";"A";"30149";"A";"10302";"A";"3640";"A";"4394";"A";"5867";"A";"16027";"A";"3648";"A";"6974";"A";"38040";"A";"3767";"A";"9810";"A";"8205";"A";"102472";"A";"85745";"A";"96009";"A";"81788";"A";"9810";"A";"95085";"A";"-1903";"A"
"1991-T3";"6672";"A";"37147";"A";"14837";"A";"866";"A";"13243";"A";"29516";"A";"9928";"A";"3633";"A";"4497";"A";"5796";"A";"16058";"A";"3619";"A";"6958";"A";"37779";"A";"3716";"A";"9701";"A";"8214";"A";"101934";"A";"85376";"A";"95355";"A";"81468";"A";"9701";"A";"94658";"A";"-1700";"A"
"1991-T2";"6890";"A";"36609";"A";"14743";"A";"856";"A";"13257";"A";"30266";"A";"10042";"A";"3627";"A";"4520";"A";"5750";"A";"16011";"A";"3613";"A";"6954";"A";"37525";"A";"3686";"A";"9652";"A";"8306";"A";"102456";"A";"85604";"A";"95673";"A";"81237";"A";"9652";"A";"94374";"A";"-1497";"A"
"1991-T1";"6986";"A";"37051";"A";"14747";"A";"855";"A";"13273";"A";"30210";"A";"9807";"A";"3622";"A";"4517";"A";"5672";"A";"15917";"A";"3571";"A";"6963";"A";"37265";"A";"3676";"A";"9523";"A";"8091";"A";"102683";"A";"85903";"A";"95810";"A";"80646";"A";"9523";"A";"93652";"A";"-1332";"A"
"1990-T4";"6933";"A";"36696";"A";"14259";"A";"857";"A";"13590";"A";"30550";"A";"9736";"A";"3616";"A";"4608";"A";"5880";"A";"15947";"A";"3566";"A";"6988";"A";"37000";"A";"3691";"A";"9460";"A";"8228";"A";"102690";"A";"86008";"A";"95869";"A";"80861";"A";"9460";"A";"93815";"A";"-1235";"A"
"1990-T3";"6844";"A";"36585";"A";"14562";"A";"839";"A";"14243";"A";"29826";"A";"9429";"A";"3606";"A";"4576";"A";"5891";"A";"15864";"A";"3485";"A";"6982";"A";"36727";"A";"3707";"A";"9450";"A";"8064";"A";"102216";"A";"85847";"A";"95477";"A";"80271";"A";"9450";"A";"93193";"A";"-1254";"A"
"1990-T2";"6830";"A";"36477";"A";"14799";"A";"806";"A";"14322";"A";"29763";"A";"9275";"A";"3592";"A";"4630";"A";"5946";"A";"15902";"A";"3505";"A";"6952";"A";"36463";"A";"3718";"A";"9360";"A";"7934";"A";"101902";"A";"85666";"A";"95178";"A";"80060";"A";"9360";"A";"92889";"A";"-1279";"A"
"1990-T1";"6777";"A";"36452";"A";"15007";"A";"782";"A";"15007";"A";"29828";"A";"8622";"A";"3574";"A";"4725";"A";"5917";"A";"15831";"A";"3450";"A";"6899";"A";"36182";"A";"3726";"A";"9397";"A";"7901";"A";"102028";"A";"86297";"A";"95350";"A";"79562";"A";"9397";"A";"92397";"A";"-1344";"A"
"1989-T4";"6838";"A";"36171";"A";"14593";"A";"777";"A";"14554";"A";"29482";"A";"8912";"A";"3553";"A";"4743";"A";"5822";"A";"15741";"A";"3376";"A";"6837";"A";"35895";"A";"3717";"A";"9255";"A";"7952";"A";"101001";"A";"85049";"A";"94274";"A";"78935";"A";"9255";"A";"91615";"A";"-1307";"A"
"1989-T3";"6834";"A";"35772";"A";"14647";"A";"783";"A";"14641";"A";"29191";"A";"8998";"A";"3531";"A";"4648";"A";"5695";"A";"15701";"A";"3391";"A";"6759";"A";"35603";"A";"3696";"A";"9129";"A";"8013";"A";"100602";"A";"84605";"A";"93882";"A";"78423";"A";"9129";"A";"90964";"A";"-1229";"A"
"1989-T2";"6818";"A";"35684";"A";"14474";"A";"757";"A";"13779";"A";"29137";"A";"8943";"A";"3509";"A";"4624";"A";"5665";"A";"15361";"A";"3316";"A";"6684";"A";"35323";"A";"3654";"A";"9029";"A";"7824";"A";"99277";"A";"83380";"A";"92579";"A";"77388";"A";"9029";"A";"89798";"A";"-1071";"A"
"1989-T1";"6860";"A";"35692";"A";"14898";"A";"717";"A";"13931";"A";"29239";"A";"8500";"A";"3488";"A";"4594";"A";"5661";"A";"15448";"A";"3292";"A";"6614";"A";"35050";"A";"3591";"A";"8937";"A";"7791";"A";"99160";"A";"83554";"A";"92425";"A";"76931";"A";"8937";"A";"89234";"A";"-850";"A"
"1988-T4";"6801";"A";"35115";"A";"14632";"A";"719";"A";"14274";"A";"28347";"A";"8885";"A";"3467";"A";"4619";"A";"5513";"A";"15155";"A";"3188";"A";"6553";"A";"34778";"A";"3512";"A";"8776";"A";"7791";"A";"98212";"A";"82408";"A";"91535";"A";"75944";"A";"8776";"A";"88065";"A";"-537";"A"
"1988-T3";"6798";"A";"35025";"A";"14506";"A";"723";"A";"13241";"A";"28558";"A";"8842";"A";"3451";"A";"4560";"A";"5492";"A";"14951";"A";"3156";"A";"6480";"A";"34473";"A";"3440";"A";"8716";"A";"7690";"A";"97278";"A";"81541";"A";"90610";"A";"75127";"A";"8716";"A";"87164";"A";"-340";"A"
"1988-T2";"6802";"A";"34749";"A";"14325";"A";"714";"A";"12563";"A";"28268";"A";"8554";"A";"3442";"A";"4471";"A";"5467";"A";"14841";"A";"3120";"A";"6406";"A";"34152";"A";"3379";"A";"8609";"A";"7777";"A";"95701";"A";"80226";"A";"89039";"A";"74503";"A";"8609";"A";"86423";"A";"-319";"A"
"1988-T1";"6747";"A";"34646";"A";"14587";"A";"684";"A";"12577";"A";"27925";"A";"8653";"A";"3438";"A";"4524";"A";"5395";"A";"14746";"A";"3094";"A";"6331";"A";"33797";"A";"3330";"A";"8558";"A";"7753";"A";"95208";"A";"79725";"A";"88598";"A";"73841";"A";"8558";"A";"85696";"A";"-326";"A"
"1987-T4";"6685";"A";"34458";"A";"14414";"A";"664";"A";"13552";"A";"28324";"A";"8832";"A";"3439";"A";"4653";"A";"5344";"A";"14672";"A";"3029";"A";"6258";"A";"33424";"A";"3289";"A";"8444";"A";"7601";"A";"96207";"A";"80635";"A";"89646";"A";"73045";"A";"8444";"A";"84781";"A";"-377";"A"
"1987-T3";"6614";"A";"34247";"A";"14629";"A";"637";"A";"12297";"A";"27607";"A";"8955";"A";"3432";"A";"4447";"A";"5275";"A";"14475";"A";"3013";"A";"6179";"A";"33073";"A";"3244";"A";"8319";"A";"7559";"A";"94035";"A";"78491";"A";"87553";"A";"72196";"A";"8319";"A";"83794";"A";"-331";"A"
"1987-T2";"6535";"A";"34099";"A";"14641";"A";"617";"A";"12146";"A";"28043";"A";"8840";"A";"3415";"A";"4464";"A";"5200";"A";"14476";"A";"2989";"A";"6099";"A";"32777";"A";"3194";"A";"8235";"A";"7586";"A";"93889";"A";"78507";"A";"87476";"A";"71656";"A";"8235";"A";"83154";"A";"-213";"A"
