,"Commerce de détail, indice en valeur (Brut)","Petit commerce, indice en valeur (Brut)","Alimentation générale, Petit commerce traditionnel, indice en valeur (Brut)","Equipements électriques et électroniques, autres machines, évolution des livraisons par rapport au mois précédent (Brut)","Fabrication d'autres équipements électriques, situation actuelle de l`état du carnet de commandes en fin de mois (Brut)","Activités informatiques et services d'information, évolution de l'activité par rapport au mois précédent (Brut)","Matériels audio et vidéo, indice en volume (Brut)","Fabrication d'appareils ménagers, taux moyen d'utilisation des capacités de production (Brut)","Supermarchés, indice en valeur (Brut)","Hypermarchés, indice en valeur (Brut)"
2011-06-30,-0.002700933287747958,-0.0028051116208316538,0.002923565788501134,-0.2664379825204293,6.65600165992323,-0.19437126641344685,-0.06662323035175362,-0.04296577151545424,0.002979011533983382,0.014815234704761733
2011-09-30,-0.0059501673563513505,-0.012784354501947153,0.0175407319709894,0.22717531356185225,-2.4079574542110893,0.07639423041873461,-0.01039144990986347,-0.024474783702370207,0.009143665430531673,-0.008164614291451825
2011-12-31,0.0016663105845309834,0.009389143222666483,-0.013878214120143785,0.8628173516704386,-0.40030481188256334,-0.22377003511773444,0.042605207461731597,0.04937921017663621,-0.008735874441181282,-0.002911912214011568
2012-03-31,0.0012633596838773832,-0.0016030464456580917,0.03444327624441268,-0.9342064821408474,0.06540090332417685,-0.12487931535851315,-0.06542262801820486,-0.04707104193837556,0.009556663631311359,0.013648041840000425
2012-06-30,0.006572045517633563,0.0012051578417710679,-0.0158200925518503,1.2965586126788053,0.1607964958377414,0.17660289240759316,0.06002339554698944,-0.002424517519172604,-0.0012266796077170586,-0.003799489510190992
2012-09-30,-0.01684130887065777,-0.01833774995630869,-0.0025101247265112195,-1.2712836177972535,-0.9126295666436178,-0.08935461786852865,-0.02482427662404142,0.038193818806806834,-0.018648333827107434,-0.014168265523491394
2012-12-31,-0.007785838169616547,-0.007124577283269849,-0.011055814154752657,0.1922837093743898,1.5854414223126587,0.26682829629719884,0.005498906967149356,0.0038798749917377203,-0.007166944653376517,-0.005458759519144766
2013-03-31,0.004153824485622168,0.008374661241329441,-3.978690715850571e-05,-0.20563202680152157,-0.246045244768327,11.46713559052615,0.007826493642253532,-0.00486730799265217,0.00884831734121954,0.010811965590327093
2013-06-30,-0.007626027327720276,0.001151951052258705,-0.0014179124147570392,0.12785338186047482,-0.36110103095650237,-11.280584068671589,-0.022626274587336116,-0.039624290177414596,-0.014833248421048132,-0.022231589411689182
2013-09-30,0.006257673572047683,0.006350491134221679,-0.031588849956933215,0.13189888078435827,0.01875864589042886,0.523526748786062,0.031081041366678146,0.057954194635679496,0.005459694777869488,0.009048618681241178
2013-12-31,0.008338810727451447,0.00459776335663788,0.02928876922529064,-0.2562446854256995,0.025864730732947778,-0.3616059325452606,-0.00019500547335198765,-0.050553160697449105,0.0023482449415943457,-0.0010157695169346313
2014-03-31,-0.006312208724316033,-0.007138662747264644,-0.007975146972623123,0.16756073200006316,-0.20454576543041747,-0.33005190752164726,0.015501456888097356,0.007540236197135934,-0.006298442825901095,-0.011774475229010213
2014-06-30,0.0029638718929832866,0.002898965153491873,0.0012282266802072898,0.017127638253677063,-2.677366466128873,-0.20256236011236176,0.023991495730883255,0.06500440373734455,0.007476445916358685,0.016618154642976304
2014-09-30,0.004967928013116851,-0.000872641226843974,0.00849463635985726,-0.07788663809649109,3.1330647961664,0.11116563644459314,-0.04340947564120871,-0.05220966597711197,0.010883229261229569,0.00619489242706709
2014-12-31,0.005326855957652747,0.010454698939461824,-0.006401412270962216,-0.023056203664625352,0.06630247000046692,-0.6075101702518507,0.023568368062269803,0.040624143662113,0.0009295875962266655,0.0021823835462077674
2015-03-31,-0.011600494882465404,-0.0047776838000262905,-0.015716377444841844,0.05136238384193705,-0.5102804314329733,0.5539605899046094,-0.014413512557494429,-0.018547699524665246,-0.013692203721836377,-0.012313103866084488
2015-06-30,0.017289305981524682,0.01840223247859847,0.015773314060216183,0.026949355854585317,0.23865292096219917,0.527976651638337,-0.018631939595090047,-0.013143935404386443,0.012645890059953424,0.015871357775397697
2015-09-30,-0.0005280056834539477,-0.0023382973081089256,0.006495313828819884,-0.05176558162465996,-0.04343437791584174,-0.40167215949829077,0.031151796285360574,-0.0068320604560054175,-0.00687921095909253,-0.0029413872439827543
2015-12-31,-0.006128287798757332,-0.006549150550854914,-0.009171557277360735,0.005504810028179967,-0.16065127290081269,-0.5001317363930172,-0.021546392421511212,6.210401762333367e-05,0.0034626160310706916,-0.001753774402147218
2016-03-31,0.012479643902209849,0.027082538476055597,0.01677968803326886,-0.047242364315535,-12.355773619351895,1.0508593021543888,0.15786526377845655,0.008947736809429943,0.010262388688337894,0.020227472225239473
2016-06-30,-0.009440010038013303,-0.028254549346194296,-0.02227306638484591,-0.10331460797592494,11.48188715399156,-0.6281919639765832,-0.0934068787492156,-0.02311634551074387,-0.0097773080153024,-0.01995740508662625
2016-09-30,-0.011245818084823146,-0.013235695995126145,-1.2377411240128515e-06,0.1531387257298024,0.12309477277254628,0.17327514515448184,-0.06551316348470047,0.014082061950628555,0.005816046894585505,-0.0033745293564955738
2016-12-31,0.008088824682241971,0.005227893644895357,0.010678764066471605,-0.05668774082028379,-21.76928909107127,-0.24088763754573525,-0.02427793448156008,-0.02353814890804883,0.0015751052645562532,-0.0005752377085236753
2017-03-31,0.0013937961010810826,-2.74301431548452e-05,0.0039204533456159985,0.26170030117674176,23.65490168832071,0.030044932483956937,-0.053640575953486036,0.007851911210346375,-0.008207779243829504,-0.004324559766038207
2017-06-30,-0.0026772453640617304,-0.007894207490718001,0.010371274852885692,-0.06230357428690899,-0.44671732841221345,0.17213108659347065,0.010680097989372786,0.03486905968161835,0.008968955033721077,0.008695159972891048
2017-09-30,0.017919812506449865,0.030883877265545565,-0.008789188259873452,-0.17777962950830126,-0.06766912183228417,-0.17156413199896228,0.10256536859313027,-0.02176199363781067,-0.002081263702440113,0.006742762852193204
2017-12-31,-0.018120286137623284,-0.02048685463701432,-0.01303894285237161,-0.023045052995053366,-0.3710326702743181,0.7875098060432277,-0.060383054896194145,0.015435210681741125,-0.006693142138213396,-0.012381325865470439
2018-03-31,0.01353229419312135,0.009731887096100967,0.015396879516877652,0.03098070776237243,0.13617308785376006,-0.6638087956895297,0.03638928091469076,0.010502459717245982,0.019709259717253645,0.019140303231956313
2018-06-30,-0.006443496732713834,0.0034780058275032818,-0.01609238572160754,0.022961882110257292,-0.009671223570140544,-0.008038468337637402,0.047769500167456326,-0.026913110694178555,-0.014912327457995386,-0.012405700104119824
2018-09-30,-0.02354847374237903,-0.028322683233983317,-0.0016738128894584852,-0.04780504993210614,-0.041017087530744206,-0.05793201089280645,-0.08114516002915934,0.0033781765114458905,-0.01220497842746312,-0.019523062144824202
2018-12-31,0.006997815131105795,0.0046850063072859105,-0.007392926040664989,0.2879369853813463,-0.22663708620887943,-0.6348573889941472,0.0066558303870007844,0.00894790055484257,0.008214192506042302,0.010025874517514827
2019-03-31,-0.004840464959204374,0.005954041124982157,-0.02151336180646482,-0.29979624301902347,-0.0291966639985128,0.6632560652493993,0.01634342318431189,-0.020091678576649258,-0.013656358688721145,-0.012752795002485417
2019-06-30,0.0016924454899388218,-0.01102280003798297,0.014385325699430985,-0.18969375515605677,0.016722167024900814,-0.11706055138020233,-0.04730648814775853,-0.012301305919243893,0.009903983181440035,0.007030879892623266
2019-09-30,0.004916386926488272,0.019987926697485517,0.006946465592043612,0.21982319938676262,-0.04646704008482402,0.045193431733511015,0.03271643654449657,0.010014614686948484,-0.00501083263294862,-0.001885365644716308
2019-12-31,0.004883190098956079,0.006219292081110921,0.012590089718734107,0.023777258141740254,-0.6312660297608316,-0.29218737402241396,0.004546783752403372,-0.011476563040674468,-0.0015347875222295505,-0.0009358364350268711
